IP LIN
PA -1.5 1.5 4.5 7.5 10.5 13.5 16.5 19.5 22.5 25.5 28.5 31.5 34.5 37.5 40.5 43.5 46.5 49.5 52.5 55.5 58.5 61.5 64.5 67.5 70.5 73.5 76.5 79.5 82.5 85.5 88.5 91.5 94.5 97.5 100.5 103.5 106.5 109.5 112.5 115.5 118.5 121.5 124.5 127.5 130.5 133.5 136.5 139.5 142.5 145.5 148.5 151.5 154.5 157.5 160.5 163.5 166.5 169.5 172.5 175.5 178.5 181.5 184.5 187.5 190.5 193.5 196.5 199.5 202.5 205.5 208.5 211.5 214.5 217.5 220.5 223.5 226.5 229.5 232.5 235.5 238.5 241.5 244.5 247.5 250.5 253.5 256.5 259.5 262.5 265.5 268.5 271.5 274.5 277.5 280.5 283.5 286.5 289.5 292.5 295.5 298.5 301.5 304.5 307.5 310.5 313.5 316.5 319.5 322.5 325.5 328.5 331.5 334.5 337.5 340.5 343.5 346.5 349.5 352.5 355.5 358.5 361.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 10 55 1 0.256032
AP 10 56 1 0.252843
AP 10 57 1 0.250384
AP 10 58 1 0.248621
AP 10 59 1 0.247529
AP 10 60 1 0.208942
AP 11 0 1 0.208936
AP 11 1 1 0.209828
AP 11 2 1 0.211275
AP 11 3 1 0.213296
AP 11 4 1 0.215922
AP 11 5 1 0.219189
AP 11 6 1 0.22315
AP 11 7 1 0.227866
AP 11 8 1 0.233418
AP 11 9 1 0.239902
AP 11 10 1 0.247441
AP 11 11 1 0.256188
AP 11 12 1 0.266334
AP 11 13 1 0.27812
AP 11 14 1 0.291857
AP 11 15 1 0.307946
AP 11 16 1 0.326914
AP 11 17 1 0.349469
AP 11 18 1 0.376581
AP 11 19 1 0.409614
AP 11 20 1 0.450545
AP 11 21 1 0.502354
AP 11 22 1 0.569739
AP 11 23 1 0.660556
AP 11 24 1 0.788965
AP 11 25 1 0.983183
AP 11 26 1 1.3078
AP 11 27 1 1.94372
AP 11 28 1 3.58239
AP 11 29 1 10.7617
AP 11 30 1 12.9334
AP 11 31 1 4.30421
AP 11 32 1 2.33277
AP 11 33 1 1.56806
AP 11 34 1 1.17781
AP 11 35 1 0.944394
AP 11 36 1 0.790131
AP 11 37 1 0.681269
AP 11 38 1 0.600108
AP 11 39 1 0.537775
AP 11 40 1 0.488586
AP 11 41 1 0.448938
AP 11 42 1 0.41644
AP 11 43 1 0.389441
AP 11 44 1 0.366767
AP 11 45 1 0.347563
AP 11 46 1 0.331183
AP 11 47 1 0.31693
AP 11 48 1 0.304662
AP 11 49 1 0.294085
AP 11 50 1 0.284968
AP 11 51 1 0.277127
AP 11 52 1 0.270414
AP 11 53 1 0.26471
AP 11 54 1 0.259921
AP 11 55 1 0.255969
AP 11 56 1 0.252795
AP 11 57 1 0.250351
AP 11 58 1 0.248601
AP 11 59 1 0.247523
AP 11 60 1 0.208936
AP 12 0 1 0.20893
AP 12 1 1 0.209811
AP 12 2 1 0.211245
AP 12 3 1 0.213253
AP 12 4 1 0.215865
AP 12 5 1 0.219118
AP 12 6 1 0.223063
AP 12 7 1 0.227762
AP 12 8 1 0.233293
AP 12 9 1 0.239755
AP 12 10 1 0.247269
AP 12 11 1 0.255987
AP 12 12 1 0.266099
AP 12 13 1 0.277844
AP 12 14 1 0.291532
AP 12 15 1 0.307561
AP 12 16 1 0.326454
AP 12 17 1 0.348915
AP 12 18 1 0.375905
AP 12 19 1 0.408775
AP 12 20 1 0.449482
AP 12 21 1 0.500972
AP 12 22 1 0.56788
AP 12 23 1 0.657939
AP 12 24 1 0.785043
AP 12 25 1 0.976746
AP 12 26 1 1.2957
AP 12 27 1 1.9156
AP 12 28 1 3.49136
AP 12 29 1 10.259
AP 12 30 1 12.3257
AP 12 31 1 4.19414
AP 12 32 1 2.29876
AP 12 33 1 1.55342
AP 12 34 1 1.17003
AP 12 35 1 0.939652
AP 12 36 1 0.786968
AP 12 37 1 0.679021
AP 12 38 1 0.598437
AP 12 39 1 0.536489
AP 12 40 1 0.487571
AP 12 41 1 0.448121
AP 12 42 1 0.41577
AP 12 43 1 0.388885
AP 12 44 1 0.366302
AP 12 45 1 0.34717
AP 12 46 1 0.33085
AP 12 47 1 0.316646
AP 12 48 1 0.304419
AP 12 49 1 0.293877
AP 12 50 1 0.28479
AP 12 51 1 0.276976
AP 12 52 1 0.270287
AP 12 53 1 0.264605
AP 12 54 1 0.259835
AP 12 55 1 0.255901
AP 12 56 1 0.252743
AP 12 57 1 0.250314
AP 12 58 1 0.24858
AP 12 59 1 0.247515
AP 12 60 1 0.20893
AP 13 0 1 0.208924
AP 13 1 1 0.209791
AP 13 2 1 0.211212
