IP LIN
PA -1.5 1.5 4.5 7.5 10.5 13.5 16.5 19.5 22.5 25.5 28.5 31.5 34.5 37.5 40.5 43.5 46.5 49.5 52.5 55.5 58.5 61.5 64.5 67.5 70.5 73.5 76.5 79.5 82.5 85.5 88.5 91.5 94.5 97.5 100.5 103.5 106.5 109.5 112.5 115.5 118.5 121.5 124.5 127.5 130.5 133.5 136.5 139.5 142.5 145.5 148.5 151.5 154.5 157.5 160.5 163.5 166.5 169.5 172.5 175.5 178.5 181.5 184.5 187.5 190.5 193.5 196.5 199.5 202.5 205.5 208.5 211.5 214.5 217.5 220.5 223.5 226.5 229.5 232.5 235.5 238.5 241.5 244.5 247.5 250.5 253.5 256.5 259.5 262.5 265.5 268.5 271.5 274.5 277.5 280.5 283.5 286.5 289.5 292.5 295.5 298.5 301.5 304.5 307.5 310.5 313.5 316.5 319.5 322.5 325.5 328.5 331.5 334.5 337.5 340.5 343.5 346.5 349.5 352.5 355.5 358.5 361.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 4 29 1 1.46989
AP 4 30 1 1.76939
AP 4 31 1 0.506697
AP 4 32 1 0.25358
AP 4 33 1 0.164674
AP 4 34 1 0.121723
AP 4 35 1 0.096765
AP 4 36 1 0.0805365
AP 4 37 1 0.0691972
AP 4 38 1 0.0608006
AP 4 39 1 0.0543818
AP 4 40 1 0.0493338
AP 4 41 1 0.0452756
AP 4 42 1 0.0419558
AP 4 43 1 0.0392022
AP 4 44 1 0.0368926
AP 4 45 1 0.0349383
AP 4 46 1 0.0332727
AP 4 47 1 0.0318246
AP 4 48 1 0.0305784
AP 4 49 1 0.0295043
AP 4 50 1 0.0285785
AP 4 51 1 0.027782
AP 4 52 1 0.0270997
AP 4 53 1 0.0265196
AP 4 54 1 0.0260317
AP 4 55 1 0.0256284
AP 4 56 1 0.0253033
AP 4 57 1 0.0250517
AP 4 58 1 0.02487
AP 4 59 1 0.0247555
AP 4 60 1 0.0208963
AP 5 0 1 0.0208961
AP 5 1 1 0.0209903
AP 5 2 1 0.0211402
AP 5 3 1 0.0213477
AP 5 4 1 0.021616
AP 5 5 1 0.021949
AP 5 6 1 0.0223518
AP 5 7 1 0.0228309
AP 5 8 1 0.0233943
AP 5 9 1 0.0240521
AP 5 10 1 0.0248168
AP 5 11 1 0.0257039
AP 5 12 1 0.026733
AP 5 13 1 0.027929
AP 5 14 1 0.0293236
AP 5 15 1 0.0309581
AP 5 16 1 0.0328868
AP 5 17 1 0.035183
AP 5 18 1 0.0379471
AP 5 19 1 0.0413211
AP 5 20 1 0.0455119
AP 5 21 1 0.0508329
AP 5 22 1 0.0577831
AP 5 23 1 0.0672062
AP 5 24 1 0.08065
AP 5 25 1 0.10128
AP 5 26 1 0.136649
AP 5 27 1 0.209301
AP 5 28 1 0.413177
AP 5 29 1 1.41399
AP 5 30 1 1.7018
AP 5 31 1 0.496849
AP 5 32 1 0.251328
AP 5 33 1 0.163901
AP 5 34 1 0.121362
AP 5 35 1 0.0965595
AP 5 36 1 0.0804043
AP 5 37 1 0.0691052
AP 5 38 1 0.0607332
AP 5 39 1 0.0543304
AP 5 40 1 0.0492935
AP 5 41 1 0.0452433
AP 5 42 1 0.0419295
AP 5 43 1 0.0391804
AP 5 44 1 0.0368744
AP 5 45 1 0.034923
AP 5 46 1 0.0332598
AP 5 47 1 0.0318135
AP 5 48 1 0.030569
AP 5 49 1 0.0294963
AP 5 50 1 0.0285716
AP 5 51 1 0.0277762
AP 5 52 1 0.0270948
AP 5 53 1 0.0265155
AP 5 54 1 0.0260284
AP 5 55 1 0.0256258
AP 5 56 1 0.0253013
AP 5 57 1 0.0250504
AP 5 58 1 0.0248692
AP 5 59 1 0.0247552
AP 5 60 1 0.0208961
AP 6 0 1 0.0208958
AP 6 1 1 0.0209895
AP 6 2 1 0.0211387
AP 6 3 1 0.0213457
AP 6 4 1 0.0216133
AP 6 5 1 0.0219456
AP 6 6 1 0.0223476
AP 6 7 1 0.0228258
AP 6 8 1 0.0233883
AP 6 9 1 0.0240451
AP 6 10 1 0.0248085
AP 6 11 1 0.0256942
AP 6 12 1 0.0267217
AP 6 13 1 0.0279157
AP 6 14 1 0.0293079
AP 6 15 1 0.0309394
AP 6 16 1 0.0328645
AP 6 17 1 0.035156
AP 6 18 1 0.037914
AP 6 19 1 0.0412798
AP 6 20 1 0.0454592
AP 6 21 1 0.0507638
AP 6 22 1 0.057689
AP 6 23 1 0.0670713
AP 6 24 1 0.0804414
AP 6 25 1 0.100918
AP 6 26 1 0.135893
AP 6 27 1 0.207193
AP 6 28 1 0.404466
AP 6 29 1 1.35609
AP 6 30 1 1.6318
AP 6 31 1 0.486316
AP 6 32 1 0.248778
AP 6 33 1 0.162987
AP 6 34 1 0.120925
AP 6 35 1 0.0963073
AP 6 36 1 0.0802412
AP 6 37 1 0.0689914
AP 6 38 1 0.0606497
AP 6 39 1 0.0542667
AP 6 40 1 0.0492435
AP 6 41 1 0.0452032
AP 6 42 1 0.0418968
AP 6 43 1 0.0391534
AP 6 44 1 0.0368519
AP 6 45 1 0.034904
AP 6 46 1 0.0332437
AP 6 47 1 0.0317998
AP 6 48 1 0.0305573
AP 6 49 1 0.0294863
AP 6 50 1 0.0285631
AP 6 51 1 0.027769
AP 6 52 1 0.0270888
AP 6 53 1 0.0265105
AP 6 54 1 0.0260243
AP 6 55 1 0.0256225
AP 6 56 1 0.0252989
AP 6 57 1 0.0250486
AP 6 58 1 0.0248681
AP 6 59 1 0.0247549
AP 6 60 1 0.0208958
AP 7 0 1 0.0208955
AP 7 1 1 0.0209885
AP 7 2 1 0.021137
AP 7 3 1 0.0213432
AP 7 4 1 0.0216101
AP 7 5 1 0.0219415
AP 7 6 1 0.0223426
AP 7 7 1 0.0228199
AP 7 8 1 0.0233812
AP 7 9 1 0.0240367
AP 7 10 1 0.0247987
AP 7 11 1 0.0256827
AP 7 12 1 0.0267082
AP 7 13 1 0.0278998
AP 7 14 1 0.0292892
AP 7 15 1 0.0309172
AP 7 16 1 0.0328379
AP 7 17 1 0.0351238
AP 7 18 1 0.0378746
AP 7 19 1 0.0412307
AP 7 20 1 0.0453966
AP 7 21 1 0.0506818
AP 7 22 1 0.0575776
AP 7 23 1 0.066912
AP 7 24 1 0.0801962
AP 7 25 1 0.100497
AP 7 26 1 0.135031
AP 7 27 1 0.204886
AP 7 28 1 0.395402
AP 7 29 1 1.29773
AP 7 30 1 1.56123
AP 7 31 1 0.475357
AP 7 32 1 0.245989
AP 7 33 1 0.161946
AP 7 34 1 0.120415
AP 7 35 1 0.0960108
AP 7 36 1 0.0800485
AP 7 37 1 0.0688567
AP 7 38 1 0.0605505
AP 7 39 1 0.054191
AP 7 40 1 0.0491841
AP 7 41 1 0.0451556
AP 7 42 1 0.0418579
AP 7 43 1 0.0391212
AP 7 44 1 0.036825
AP 7 45 1 0.0348813
AP 7 46 1 0.0332245
AP 7 47 1 0.0317835
AP 7 48 1 0.0305434
AP 7 49 1 0.0294744
AP 7 50 1 0.028553
AP 7 51 1 0.0277603
AP 7 52 1 0.0270815
AP 7 53 1 0.0265044
AP 7 54 1 0.0260194
AP 7 55 1 0.0256186
AP 7 56 1 0.0252959
AP 7 57 1 0.0250466
AP 7 58 1 0.0248669
AP 7 59 1 0.0247545
AP 7 60 1 0.0208955
AP 8 0 1 0.0208951
AP 8 1 1 0.0209873
AP 8 2 1 0.021135
AP 8 3 1 0.0213404
AP 8 4 1 0.0216063
AP 8 5 1 0.0219368
AP 8 6 1 0.0223369
AP 8 7 1 0.0228129
AP 8 8 1 0.023373
AP 8 9 1 0.024027
AP 8 10 1 0.0247873
AP 8 11 1 0.0256693
AP 8 12 1 0.0266925
AP 8 13 1 0.0278814
AP 8 14 1 0.0292675
AP 8 15 1 0.0308915
AP 8 16 1 0.0328071
AP 8 17 1 0.0350867
AP 8 18 1 0.0378291
AP 8 19 1 0.041174
AP 8 20 1 0.0453245
AP 8 21 1 0.0505875
AP 8 22 1 0.0574495
AP 8 23 1 0.0667293
AP 8 24 1 0.0799167
AP 8 25 1 0.100021
AP 8 26 1 0.134078
AP 8 27 1 0.202419
AP 8 28 1 0.386142
AP 8 29 1 1.23994
AP 8 30 1 1.49135
AP 8 31 1 0.464159
AP 8 32 1 0.243006
AP 8 33 1 0.160793
AP 8 34 1 0.11984
AP 8 35 1 0.0956729
AP 8 36 1 0.0798277
AP 8 37 1 0.0687019
AP 8 38 1 0.0604364
AP 8 39 1 0.0541038
AP 8 40 1 0.0491156
AP 8 41 1 0.0451005
AP 8 42 1 0.041813
AP 8 43 1 0.0390841
AP 8 44 1 0.0367939
AP 8 45 1 0.0348551
AP 8 46 1 0.0332022
AP 8 47 1 0.0317645
AP 8 48 1 0.0305272
AP 8 49 1 0.0294606
AP 8 50 1 0.0285412
AP 8 51 1 0.0277504
AP 8 52 1 0.0270731
AP 8 53 1 0.0264975
AP 8 54 1 0.0260137
AP 8 55 1 0.0256141
AP 8 56 1 0.0252925
AP 8 57 1 0.0250442
AP 8 58 1 0.0248655
AP 8 59 1 0.024754
AP 8 60 1 0.0208951
AP 9 0 1 0.0208947
AP 9 1 1 0.020986
AP 9 2 1 0.0211328
AP 9 3 1 0.0213372
AP 9 4 1 0.0216021
AP 9 5 1 0.0219314
AP 9 6 1 0.0223303
AP 9 7 1 0.0228051
AP 9 8 1 0.0233636
AP 9 9 1 0.0240159
AP 9 10 1 0.0247743
AP 9 11 1 0.0256542
AP 9 12 1 0.0266748
AP 9 13 1 0.0278606
AP 9 14 1 0.029243
AP 9 15 1 0.0308624
AP 9 16 1 0.0327724
AP 9 17 1 0.0350447
AP 9 18 1 0.0377777
AP 9 19 1 0.04111
AP 9 20 1 0.0452431
AP 9 21 1 0.0504812
AP 9 22 1 0.0573056
AP 9 23 1 0.0665248
AP 9 24 1 0.0796053
AP 9 25 1 0.0994964
AP 9 26 1 0.133045
AP 9 27 1 0.199825
AP 9 28 1 0.376804
AP 9 29 1 1.18345
AP 9 30 1 1.42305
AP 9 31 1 0.452868
AP 9 32 1 0.23987
AP 9 33 1 0.159543
AP 9 34 1 0.119206
AP 9 35 1 0.0952963
AP 9 36 1 0.0795804
AP 9 37 1 0.0685279
AP 9 38 1 0.0603079
AP 9 39 1 0.0540054
AP 9 40 1 0.0490382
AP 9 41 1 0.0450384
AP 9 42 1 0.0417622
AP 9 43 1 0.039042
AP 9 44 1 0.0367587
AP 9 45 1 0.0348255
AP 9 46 1 0.0331771
AP 9 47 1 0.0317431
AP 9 48 1 0.0305089
AP 9 49 1 0.029445
AP 9 50 1 0.0285279
AP 9 51 1 0.0277391
AP 9 52 1 0.0270636
AP 9 53 1 0.0264896
AP 9 54 1 0.0260072
AP 9 55 1 0.0256089
AP 9 56 1 0.0252886
AP 9 57 1 0.0250414
AP 9 58 1 0.0248639
AP 9 59 1 0.0247535
AP 9 60 1 0.0208947
AP 10 0 1 0.0208942
AP 10 1 1 0.0209845
AP 10 2 1 0.0211303
AP 10 3 1 0.0213336
AP 10 4 1 0.0215974
AP 10 5 1 0.0219255
AP 10 6 1 0.022323
AP 10 7 1 0.0227963
AP 10 8 1 0.0233532
AP 10 9 1 0.0240037
AP 10 10 1 0.0247599
AP 10 11 1 0.0256373
AP 10 12 1 0.0266551
AP 10 13 1 0.0278375
AP 10 14 1 0.0292157
AP 10 15 1 0.03083
AP 10 16 1 0.0327337
AP 10 17 1 0.034998
AP 10 18 1 0.0377206
AP 10 19 1 0.041039
AP 10 20 1 0.045153
AP 10 21 1 0.0503636
AP 10 22 1 0.0571468
AP 10 23 1 0.0662997
AP 10 24 1 0.0792644
AP 10 25 1 0.0989271
AP 10 26 1 0.131942
AP 10 27 1 0.197135
AP 10 28 1 0.36748
AP 10 29 1 1.12875
AP 10 30 1 1.35692
AP 10 31 1 0.441594
AP 10 32 1 0.236617
AP 10 33 1 0.15821
AP 10 34 1 0.118518
AP 10 35 1 0.0948841
AP 10 36 1 0.0793083
AP 10 37 1 0.0683358
AP 10 38 1 0.0601658
AP 10 39 1 0.0538965
AP 10 40 1 0.0489524
AP 10 41 1 0.0449694
AP 10 42 1 0.0417058
AP 10 43 1 0.0389953
AP 10 44 1 0.0367196
AP 10 45 1 0.0347925
AP 10 46 1 0.0331491
AP 10 47 1 0.0317193
AP 10 48 1 0.0304886
AP 10 49 1 0.0294276
AP 10 50 1 0.0285131
AP 10 51 1 0.0277265
AP 10 52 1 0.027053
AP 10 53 1 0.0264807
AP 10 54 1 0.026
AP 10 55 1 0.0256032
AP 10 56 1 0.0252843
AP 10 57 1 0.0250384
AP 10 58 1 0.0248621
AP 10 59 1 0.0247529
AP 10 60 1 0.0208942
AP 11 0 1 0.0208936
AP 11 1 1 0.0209828
AP 11 2 1 0.0211275
AP 11 3 1 0.0213296
AP 11 4 1 0.0215922
AP 11 5 1 0.0219189
AP 11 6 1 0.022315
AP 11 7 1 0.0227866
AP 11 8 1 0.0233418
AP 11 9 1 0.0239902
AP 11 10 1 0.0247441
AP 11 11 1 0.0256188
AP 11 12 1 0.0266334
AP 11 13 1 0.027812
AP 11 14 1 0.0291857
AP 11 15 1 0.0307946
AP 11 16 1 0.0326914
AP 11 17 1 0.0349469
AP 11 18 1 0.0376581
AP 11 19 1 0.0409614
AP 11 20 1 0.0450545
AP 11 21 1 0.0502354
AP 11 22 1 0.0569739
AP 11 23 1 0.0660556
AP 11 24 1 0.0788965
AP 11 25 1 0.0983183
AP 11 26 1 0.13078
AP 11 27 1 0.194372
AP 11 28 1 0.358239
AP 11 29 1 1.07617
AP 11 30 1 1.29334
AP 11 31 1 0.430421
AP 11 32 1 0.233277
AP 11 33 1 0.156806
AP 11 34 1 0.117781
AP 11 35 1 0.0944394
AP 11 36 1 0.0790131
AP 11 37 1 0.0681269
AP 11 38 1 0.0600108
AP 11 39 1 0.0537775
AP 11 40 1 0.0488586
AP 11 41 1 0.0448938
AP 11 42 1 0.041644
AP 11 43 1 0.0389441
AP 11 44 1 0.0366767
AP 11 45 1 0.0347563
AP 11 46 1 0.0331183
AP 11 47 1 0.031693
AP 11 48 1 0.0304662
AP 11 49 1 0.0294085
AP 11 50 1 0.0284968
AP 11 51 1 0.0277127
AP 11 52 1 0.0270414
AP 11 53 1 0.026471
AP 11 54 1 0.0259921
AP 11 55 1 0.0255969
AP 11 56 1 0.0252795
AP 11 57 1 0.0250351
AP 11 58 1 0.0248601
AP 11 59 1 0.0247523
AP 11 60 1 0.0208936
AP 12 0 1 0.020893
AP 12 1 1 0.0209811
AP 12 2 1 0.0211245
AP 12 3 1 0.0213253
AP 12 4 1 0.0215865
AP 12 5 1 0.0219118
AP 12 6 1 0.0223063
AP 12 7 1 0.0227762
AP 12 8 1 0.0233293
AP 12 9 1 0.0239755
AP 12 10 1 0.0247269
AP 12 11 1 0.0255987
AP 12 12 1 0.0266099
AP 12 13 1 0.0277844
AP 12 14 1 0.0291532
AP 12 15 1 0.0307561
AP 12 16 1 0.0326454
AP 12 17 1 0.0348915
AP 12 18 1 0.0375905
AP 12 19 1 0.0408775
AP 12 20 1 0.0449482
AP 12 21 1 0.0500972
AP 12 22 1 0.056788
AP 12 23 1 0.0657939
AP 12 24 1 0.0785043
AP 12 25 1 0.0976746
AP 12 26 1 0.12957
AP 12 27 1 0.19156
AP 12 28 1 0.349136
AP 12 29 1 1.0259
AP 12 30 1 1.23257
AP 12 31 1 0.419414
AP 12 32 1 0.229876
AP 12 33 1 0.155342
AP 12 34 1 0.117003
AP 12 35 1 0.0939652
AP 12 36 1 0.0786968
AP 12 37 1 0.0679021
AP 12 38 1 0.0598437
AP 12 39 1 0.0536489
AP 12 40 1 0.0487571
AP 12 41 1 0.0448121
AP 12 42 1 0.041577
AP 12 43 1 0.0388885
AP 12 44 1 0.0366302
AP 12 45 1 0.034717
AP 12 46 1 0.033085
AP 12 47 1 0.0316646
AP 12 48 1 0.0304419
AP 12 49 1 0.0293877
AP 12 50 1 0.028479
AP 12 51 1 0.0276976
AP 12 52 1 0.0270287
AP 12 53 1 0.0264605
AP 12 54 1 0.0259835
AP 12 55 1 0.0255901
AP 12 56 1 0.0252743
AP 12 57 1 0.0250314
AP 12 58 1 0.024858
AP 12 59 1 0.0247515
AP 12 60 1 0.020893
