
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 12 15 0.225575344239
AP 12 16 0.229613522666
AP 12 17 0.301541728295
AP 12 18 0.356845425193
AP 12 19 0.398262173967
AP 12 20 0.429995660665
AP 12 21 0.455025254831
AP 12 22 0.475106757479
AP 12 23 0.491446116388
AP 12 24 0.504955080401
AP 13 0 0.000294826595456
AP 13 1 0.000634879354128
AP 13 2 0.00142792124922
AP 13 3 0.00227680797302
AP 13 4 0.0047128062111
AP 13 5 0.00763431853525
AP 13 6 0.0146587809499
AP 13 7 0.0228976488361
AP 13 8 0.031892382035
AP 13 9 0.04133625565
AP 13 10 0.0609472300117
AP 13 11 0.0808911425928
AP 13 12 0.0829969932453
AP 13 13 0.105468034321
AP 13 14 0.129184370037
AP 13 15 0.172273125738
AP 13 16 0.175921272965
AP 13 17 0.242713144961
AP 13 18 0.296118322678
AP 13 19 0.33712221293
AP 13 20 0.369070898985
AP 13 21 0.394574863804
AP 13 22 0.415222119066
AP 13 23 0.432139099492
AP 13 24 0.446202881958
AP 14 0 4.48224998837e-05
AP 14 1 0.000115295433517
AP 14 2 0.000312891294822
AP 14 3 0.000555862209475
AP 14 4 0.00136186127357
AP 14 5 0.00246698587851
AP 14 6 0.00550993903622
AP 14 7 0.00954382134268
AP 14 8 0.0143536352669
AP 14 9 0.0197564061625
AP 14 10 0.0318716097638
AP 14 11 0.0451689739647
AP 14 12 0.0466216809024
AP 14 13 0.0626265967204
AP 14 14 0.0804007142285
AP 14 15 0.114613076508
AP 14 16 0.117609887636
AP 14 17 0.17482654138
AP 14 18 0.223353843297
AP 14 19 0.262039311514
AP 14 20 0.292954829326
AP 14 21 0.318086096927
AP 14 22 0.338710444073
AP 14 23 0.355787267719
AP 14 24 0.370102615387
AP 15 0 1.95948526117e-06
AP 15 1 6.77210889561e-06
AP 15 2 2.51098440546e-05
AP 15 3 5.33869471908e-05
AP 15 4 0.000173083259008
AP 15 5 0.000377529521841
AP 15 6 0.00108398476797
AP 15 7 0.00222934886175
AP 15 8 0.00380910741519
AP 15 9 0.00579350846922
AP 15 10 0.0108533559551
AP 15 11 0.0171529825686
AP 15 12 0.0178807164883
AP 15 13 0.026340400012
AP 15 14 0.0365629472928
AP 15 15 0.0582301931409
AP 15 16 0.0602368241885
AP 15 17 0.101354814374
AP 15 18 0.139793512575
AP 15 19 0.172403560506
AP 15 20 0.199581879534
AP 15 21 0.222350859513
AP 15 22 0.241463635348
AP 15 23 0.257567646494
AP 15 24 0.27125546294
AP 16 0 4.41917859056e-09
AP 16 1 2.71437733058e-08
AP 16 2 1.84798284118e-07
AP 16 3 5.57438312339e-07
AP 16 4 3.11809959305e-06
AP 16 5 9.76434378252e-06
AP 16 6 4.57223752147e-05
AP 16 7 0.000131370303713
AP 16 8 0.00028775486811
AP 16 9 0.000531608049487
AP 16 10 0.0013323923836
AP 16 11 0.00260364823806
AP 16 12 0.00276691223042
AP 16 13 0.00487805286563
AP 16 14 0.00788327376738
AP 16 15 0.0155787653643
AP 16 16 0.0163707980256
AP 16 17 0.0350624941762
AP 16 18 0.0561357284699
AP 16 19 0.0762998698591
AP 16 20 0.0945320526699
AP 16 21 0.110726884484
AP 16 22 0.124931764295
AP 16 23 0.137313970898
AP 16 24 0.148125380866
AP 17 0 4.16252073559e-16
AP 17 1 1.17663786115e-14
AP 17 2 4.01993159583e-13
AP 17 3 3.06873849176e-12
AP 17 4 7.30193078263e-11
AP 17 5 5.97176020854e-10
AP 17 6 1.02433943827e-08
AP 17 7 7.14964784425e-08
AP 17 8 3.02817195444e-07
AP 17 9 9.37399684654e-07
AP 17 10 5.08797579774e-06
AP 17 11 1.74652358078e-05
AP 17 12 1.95343978781e-05
AP 17 13 5.54804545421e-05
